ID,Tournament,MatchDate,Week,Day,Date,Division,Home,Away,Field,Time
74,WMCB Twenty20 Round Robin,2015-06-27,Week 10,Saturday,27-Jun,WMCB T20 Group B,Crescent,Washington,Mark Twain,2:00 PM
75,WMCB Twenty20 Round Robin,2015-06-27,Week 10,Saturday,27-Jun,WMCB T20 Group B,Damascus,A Money Matter,Oxon Hill,2:00 PM
76,WMCB Twenty20 Round Robin,2015-06-27,Week 10,Saturday,27-Jun,WMCB T20 Group B,Southern Cavaliers,Punjab Lions,Laurel I,2:00 PM
77,WMCB Twenty20 Round Robin,2015-06-28,Week 10,Sunday,28-Jun,WMCB T20 Group B,Crescent,Southern Cavaliers,Mark Twain,9:00 AM
78,WMCB Twenty20 Round Robin,2015-06-28,Week 10,Sunday,28-Jun,WMCB T20 Group B,Punjab Lions,Renagades,Laurel I,9:00 AM
79,WMCB Twenty20 Round Robin,2015-06-28,Week 10,Sunday,28-Jun,WMCB T20 Group B,Washington,Damascus,Oxon Hill,9:00 AM
80,WMCB Twenty20 Round Robin,2015-06-28,Week 10,Sunday,28-Jun,WMCB T20 Group A,VA. Lions,Mavericks,Laurel I,2:00 PM
81,WMCB Twenty20 Round Robin,2015-06-28,Week 10,Sunday,28-Jun,WMCB T20 Group A,Gladiators,Spartans,Mark Twain,2:00 PM
82,WMCB Twenty20 Round Robin,2015-06-28,Week 10,Sunday,28-Jun,WMCB T20 Group A,United,Challangers,Oxon Hill,2:00 PM
83,Freedom Cup 2015,2015-07-04,Week 11 - Indep.  Day,Saturday,4-Jul,Freedom Cup T20,Draw 1,Draw II,Mark Twain,9:00 AM
84,Freedom Cup 2015,2015-07-04,Week 11 - Indep.  Day,Saturday,4-Jul,Freedom Cup T20,Draw 1,Draw IV,Mark Twain,2:00 PM
85,Freedom Cup 2015,2015-07-04,Week 11 - Indep.  Day,Saturday,4-Jul,Freedom Cup T20,Draw III,Draw II,Oxon Hill,2:00 PM
86,Freedom Cup 2015,2015-07-04,Week 11 - Indep.  Day,Saturday,4-Jul,Freedom Cup T20,Draw III,Draw IV,Oxon Hill,9:00 AM
87,Freedom Cup 2015,2015-07-05,Week 11 - Indep.  Day,Sunday,5-Jul,Freedom Cup T20,Draw II,Draw IV,Mark Twain,9:00 AM
88,Freedom Cup 2015,2015-07-05,Week 11 - Indep.  Day,Sunday,5-Jul,Freedom Cup T20,Draw 1,Draw III,Oxon Hill,9:00 AM
89,Freedom Cup 2015,2015-07-05,Week 11 - Indep.  Day,Sunday,5-Jul,Freedom Cup T20 Final,No. 1 Round Robin,No. 2 Round Robin,Oxon Hill,2:00 PM
90,WMCB Twenty20 Round Robin,2015-07-11,Week 12,Saturday,11-Jul,WMCB T20 Group A,VA. Lions,United,Laurel I,9:00 AM
91,WMCB Twenty20 Round Robin,2015-07-11,Week 12,Saturday,11-Jul,WMCB T20 Group A,Challangers,Columbia,Mark Twain,9:00 AM
92,WMCB Twenty20 Round Robin,2015-07-11,Week 12,Saturday,11-Jul,WMCB T20 Group A,Mavericks,Gladiators,Oxon Hill,9:00 AM
93,WMCB Twenty20 Round Robin,2015-07-11,Week 12,Saturday,11-Jul,WMCB T20 Group B,Renagades,A Money Matter,Oxon Hill,2:00 PM
94,WMCB Twenty20 Round Robin,2015-07-11,Week 12,Saturday,11-Jul,WMCB T20 Group B,Southern Cavaliers,Washington,Mark Twain,2:00 PM
